,open,high,low,close,volume,&-s_close,&-s_close_mean,&-s_close_std,target_roi,do_predict,%%-tenkan_sen,%%-kijun_sen,%%-senkou_a,%%-senkou_b,%%-cloud_green,%%-cloud_red,%%-trend_close_period_1,%%-trend_open_period_1,%%-trend_close_period_3,%%-trend_open_period_3,%%-trend_close_period_6,%%-trend_open_period_6,%%-trend_close_period_12,%%-trend_open_period_12,%%-trend_close_period_24,%%-trend_open_period_24,%%-trend_close_period_48,%%-trend_open_period_48,%%-trend_close_period_72,%%-trend_open_period_72,%%-trend_close_period_96,%%-trend_open_period_96,%%-fan_magnitude,%%-fan_magnitude_gain,enter_long,enter_short,exit_long,exit_short
85491,113434.22112111843,113500.0,113434.22112111843,113499.9,150.909,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113438.5,113501.6,113442.175,113126.1,True,False,113499.9,113434.22112111843,113474.54388220148,113410.32607028764,113446.8943778696,113400.94029458039,113443.68771477035,113426.86513674159,113479.3904687171,113480.20428989253,113486.74185857577,113487.64151779033,113432.39719798099,113429.12326624953,113357.52420878151,113351.1876182865,1.0007601039859528,1.0000636562759262,0,0,1,0
85492,113457.12306055921,113537.6,113457.12306055921,113529.0,161.628,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113431.54999999999,113501.6,113458.27678031758,113126.1,True,False,113529.0,113457.12306055921,113501.77194110074,113433.72456542343,113470.35312704972,113416.99251343148,113456.81268172876,113431.5202019443,113483.35923121973,113478.35779154586,113488.46668067471,113486.39586647478,113435.0438500911,113429.89038390185,113361.0597921056,113353.37185420965,1.000844671792931,1.0000845035754735,0,0,0,0
85493,113486.8365302796,113551.9,113471.8,113490.4,108.616,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113431.54999999999,113501.6,113476.8727651588,113126.1,True,False,113490.4,113486.8365302796,113496.08597055037,113460.28054785152,113476.08080503551,113436.94794681665,113461.9799614628,113440.03040630357,113483.92249272215,113479.03609064456,113488.54559166759,113486.41385275252,113436.56045693792,113431.45055229576,113363.7266005158,113356.12370320078,1.0008667089896686,1.0000220185982487,0,0,1,0
85494,113498.8182651398,113498.8182651398,113401.9,113424.0,148.024,0.00036808642,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113431.54999999999,113501.6,113493.3895075794,113126.1,True,False,113424.0,113498.8182651398,113460.04298527518,113479.54940649566,113461.20057502536,113454.62518062326,113456.13689046852,113449.07469227837,113479.12869330437,113480.61866460418,113485.91107772198,113486.92015529894,113436.21633483004,113433.29624305862,113364.96935102063,113359.06585911705,1.000804194981658,0.9999375401265232,0,0,1,0
85495,113475.9591325699,113475.9591325699,113385.9,113412.1,103.931,0.00036808642,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113431.54999999999,113501.6,113504.8635037897,113126.1,True,False,113412.1,113475.9591325699,113436.0714926376,113477.75426953277,113447.17183930383,113460.72059546516,113449.3619842426,113453.21076001553,113473.76639784002,113480.24590204144,113482.8983806721,113486.47276661612,113435.55561332784,113434.4650893466,113365.94111697897,113361.47602970371,1.0007358547588605,0.9999317146919047,0,0,1,0
85496,113447.06706628494,113481.0,113378.1,113481.0,167.706,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113431.54999999999,113501.6,113512.9,113126.1,True,False,113481.0,113447.06706628494,113458.5357463188,113462.41066790886,113456.83702807417,113456.81958712796,113454.2293712822,113452.26557636468,113474.34508601282,113477.59159518091,113482.8208957467,113484.86437068424,113436.8006650175,113434.81034898874,113368.3134650825,113363.24079334456,1.0007578476169725,1.0000219766864626,0,0,1,0
85497,113442.55853314247,113501.8,113442.55853314247,113501.7,60.583,0.00036808642,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113430.75,113501.6,113505.9,113127.20000000001,True,False,113501.7,113442.55853314247,113480.1178731594,113452.48460052567,113469.65502005297,113452.74500027497,113461.53254493109,113450.77218509972,113476.5334791318,113474.78895021784,113483.59147143051,113483.13760180499,113438.57872898961,113435.02262800666,113371.06370291584,113364.87621065999,1.0007979888258993,1.0000401108110442,0,0,0,0
85498,113466.41676657123,113550.0,113466.41676657123,113538.3,113.091,0.00036808642,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113403.64355053821,113501.6,113505.9,113144.6,True,False,113538.3,113466.41676657123,113509.2089365797,113459.45068354845,113489.2678714664,113456.65121921676,113473.342922634,113453.17904378765,113481.47480080125,113474.11917552611,113485.8244725966,113482.45511873423,113441.31081860633,113435.882741392,113374.51187398974,113366.9698303695,1.0008717219330046,1.0000736743158245,0,0,0,0
85499,113494.67088328561,113557.0,113439.1,113447.6,212.803,0.00036808642,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113396.41552526911,113501.6,113505.9,113163.75628265375,True,False,113447.6,113494.67088328561,113478.40446828985,113477.06078341702,113477.36276533315,113467.51398037928,113469.382472998,113459.56240371041,113478.76481673715,113475.76331214687,113484.26429004164,113482.95372136898,113441.48312494588,113437.49337541648,113376.01884566006,113369.60284176984,1.0008234865564034,0.9999518066346125,0,0,1,0
85500,113495.0979416428,113495.0979416428,113409.4,113446.2,147.517,0.00036808642,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113393.85,113501.6,113505.9,113170.95000000001,True,False,113446.2,113495.0979416428,113462.30223414493,113486.07936252991,113468.45911809511,113475.39511216886,113465.81593869062,113465.02940954617,113476.15963139819,113477.31008250655,113482.71064555015,113483.44940382913,113441.61235439942,113439.07158271036,113377.46587977016,113372.19036960228,1.0007792558974122,0.9999558057343925,0,0,1,0
